2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	7	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	7	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	7	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	7	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	7	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	7	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	7	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	7	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	9	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	5	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	5	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	2	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	3	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	7	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	8	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	9	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	7	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	7	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	5	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	3	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	3	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	3	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	3	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	3	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
2	2	1	3	2	2	1	2	20	1	2	7	1	1	2	2	5	2	9	2	2	1	1	9	3	2	1	1	1	15	9	1	1	3	2	1	2	1	2	2	2	2	2	1	2	5	1	2	3	2	2	1	1	1	1	2	2	1	2
